"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2012","Yankees","1462","245","804","565","1176",".265",".337",".453",".790",".188",".293",".342","843","113"
"2006","Phillies","1518","216","865","626","1203",".267",".347",".447",".794",".180",".302",".341","869","100"
"2000","Reds","1545","200","825","559","995",".274",".343",".447",".790",".173",".299",".341","836","94"
"2009","Rockies","1408","190","804","660","1277",".261",".343",".441",".784",".180",".305",".341","808","96"
"2001","Giants","1493","235","799","625","1090",".266",".342",".460",".802",".194",".290",".341","871","108"
"1999","Astros","1463","168","823","728","1138",".267",".355",".420",".775",".154",".306",".341","830","101"
"2013","Tigers","1625","176","796","531","1073",".283",".346",".434",".780",".151",".320",".341","838","114"
"1998","White Sox","1516","198","861","551","916",".271",".339",".444",".782",".172",".291",".341","826","103"
"2000","Tigers","1553","177","823","562","982",".275",".343",".438",".781",".163",".303",".341","832","100"
"1998","Giants","1540","161","845","678","1040",".274",".353",".421",".774",".147",".308",".340","850","108"
"2004","Phillies","1505","215","840","645","1133",".267",".345",".443",".788",".176",".297",".340","852","100"
"1998","Cardinals","1444","223","810","676","1179",".258",".341",".441",".781",".183",".289",".340","837","104"
"2005","Reds","1453","222","820","611","1303",".261",".339",".446",".785",".185",".302",".340","828","103"
"2006","Red Sox","1510","192","820","672","1056",".269",".351",".435",".786",".166",".298",".340","856","100"
"2004","White Sox","1481","242","865","499","1030",".268",".333",".457",".790",".189",".288",".340","818","101"
"2007","Marlins","1504","201","790","521","1332",".267",".336",".448",".784",".181",".315",".340","825","101"
"2005","Indians","1522","207","790","503","1093",".271",".334",".453",".787",".181",".302",".340","822","110"
"2010","Reds","1515","188","790","522","1218",".272",".338",".436",".774",".164",".314",".340","812","106"
"2018","Red Sox","1509","208","876","569","1253",".268",".339",".453",".792",".185",".309",".340","865","110"
"2004","Giants","1500","183","850","705","874",".270",".357",".438",".795",".168",".290",".340","864","105"
"2008","White Sox","1458","235","811","540","1016",".263",".332",".448",".780",".185",".281",".339","806","101"
"2000","Mets","1445","198","807","675","1037",".263",".346",".430",".776",".167",".290",".339","815","99"
"2000","Braves","1490","179","810","595","1010",".271",".346",".429",".775",".157",".302",".339","808","96"
"2006","Braves","1510","222","849","526","1169",".270",".337",".455",".791",".184",".304",".339","821","100"
"2009","Phillies","1439","224","820","589","1155",".258",".334",".447",".781",".189",".286",".339","807","103"
"2016","Rockies","1544","204","845","494","1330",".275",".336",".457",".794",".182",".326",".339","836","94"
"2004","Tigers","1531","201","827","518","1144",".272",".337",".449",".786",".177",".308",".339","823","106"
"2000","Royals","1644","150","879","511","840",".288",".348",".425",".773",".138",".312",".338","826","89"
"2002","Giants","1466","198","784","617","961",".266",".344",".442",".786",".175",".289",".338","827","109"
"1999","Braves","1481","197","840","608","962",".266",".341",".436",".777",".170",".288",".338","808","95"
"2009","Twins","1539","172","817","585","1021",".274",".345",".429",".774",".155",".306",".338","808","104"
"2003","Rangers","1506","239","826","488","1052",".266",".330",".454",".784",".188",".287",".338","824","99"
"2001","Athletics","1469","199","884","640","1021",".264",".345",".439",".784",".175",".288",".338","852","108"
"2000","Orioles","1508","184","794","558","900",".272",".341",".435",".776",".163",".293",".338","802","98"
"2008","Yankees","1512","180","789","535","1015",".271",".342",".427",".769",".156",".302",".338","800","104"
"2007","Brewers","1455","231","801","501","1137",".262",".329",".456",".785",".194",".289",".337","800","100"
"2006","Rangers","1571","183","835","505","1061",".278",".338",".446",".784",".168",".311",".337","818","97"
"2014","Rockies","1551","186","755","397","1281",".276",".327",".445",".772",".169",".326",".337","787","97"
"2009","Blue Jays","1516","209","798","548","1028",".266",".333",".440",".773",".174",".290",".337","806","101"
"2006","Dodgers","1552","153","820","601","959",".276",".348",".432",".781",".157",".307",".337","828","101"
"2011","Tigers","1540","169","787","521","1143",".277",".340",".434",".773",".157",".318",".337","805","109"
"2007","Braves","1562","176","810","534","1149",".275",".339",".435",".774",".160",".314",".337","814","99"
"2001","White Sox","1463","214","798","520","998",".268",".334",".451",".785",".183",".290",".337","814","104"
"2004","Athletics","1545","189","793","608","1061",".270",".343",".433",".776",".163",".300",".337","837","102"
"2004","Orioles","1614","169","842","528","949",".281",".345",".432",".776",".150",".309",".337","833","103"
"2002","Athletics","1450","205","800","609","1008",".261",".339",".432",".771",".171",".284",".337","810","106"
"2000","Dodgers","1408","211","798","668","1083",".257",".341",".431",".771",".174",".283",".337","799","99"
"2004","Rangers","1492","227","860","500","1099",".266",".329",".457",".786",".191",".291",".336","808","95"
"2007","Mets","1543","177","804","549","981",".275",".342",".432",".775",".157",".303",".336","807","100"
"1998","Cubs","1494","212","831","601","1223",".264",".337",".433",".771",".169",".302",".336","814","100"
"2007","Indians","1504","178","811","590","1202",".268",".343",".428",".771",".159",".310",".336","815","104"
"2003","White Sox","1445","220","791","519","916",".263",".331",".446",".777",".182",".279",".336","795","101"
"2004","Cubs","1508","235","789","489","1080",".268",".328",".458",".786",".190",".292",".336","804","98"
"2004","Braves","1503","178","803","587","1158",".270",".343",".434",".777",".164",".309",".336","812","100"
